date,kod,name,price,city,first_name
2021-04-12,59629,Курс 1,41440,Кемерово,Петров
2021-04-19,04801,Курс 7,22018,Красноярск,Коченев
2021-11-19,04801,Курс 7,22018,Москва,Петров
2021-04-27,14033,Курс 4,32267,Красноярск,Петров
2021-05-06,69834,Курс 9,34841,Новосибирск,Иванов
2021-05-16,19925,Курс 0,10237,Красноярск,Иванов
2021-06-10,14033,Курс 4,32267,Омск,Иванов
2022-04-13,63071,Курс 8,25760,Казань,Рутов
2021-10-20,19925,Курс 0,10237,Москва,Иванов
2022-02-16,54192,Курс 6,43969,Санкт-Петербург,Сидорова
2021-02-01,04801,Курс 7,22018,Санкт-Петербург,Коченев
2022-01-07,19925,Курс 0,10237,Красноярск,Сидорова
2021-02-05,54192,Курс 6,43969,Казань,Сидорова
2022-01-01,84116,Курс 5,30566,Кемерово,Петров
2021-10-10,59511,Курс 3,32467,Кемерово,Коченев
2021-12-07,14033,Курс 4,32267,Красноярск,Коченев
2021-04-25,14033,Курс 4,32267,Санкт-Петербург,Коченев
2021-04-29,59511,Курс 3,32467,Кемерово,Петров
2022-04-08,63071,Курс 8,25760,Москва,Коченев
2022-06-21,63071,Курс 8,25760,Казань,Рутов
2021-05-01,54192,Курс 6,43969,Кемерово,Коченев
2021-07-07,04801,Курс 7,22018,Красноярск,Сидорова
2021-11-12,63071,Курс 8,25760,Новосибирск,Конюхов
2021-03-04,84116,Курс 5,30566,Казань,Петров
2021-03-28,14033,Курс 4,32267,Москва,Коченев
2022-05-28,19925,Курс 0,10237,Омск,Рутов
2022-03-29,63071,Курс 8,25760,Красноярск,Рутов
2021-02-25,54192,Курс 6,43969,Новосибирск,Рутов
2022-01-22,19925,Курс 0,10237,Томск,Иванов
2021-03-04,59511,Курс 3,32467,Красноярск,Коченев
2021-03-07,04801,Курс 7,22018,Новосибирск,Конюхов
2022-05-21,59511,Курс 3,32467,Москва,Конюхов
2021-11-02,63071,Курс 8,25760,Красноярск,Конюхов
2022-02-18,59629,Курс 1,41440,Омск,Рутов
2021-03-17,14033,Курс 4,32267,Новосибирск,Рутов
2021-08-03,04801,Курс 7,22018,Кемерово,Сидорова
2021-10-20,04801,Курс 7,22018,Томск,Рутов
2022-05-20,63071,Курс 8,25760,Новосибирск,Иванов
2021-07-19,63071,Курс 8,25760,Кемерово,Сидорова
2022-02-27,63071,Курс 8,25760,Санкт-Петербург,Коченев
2021-03-17,19925,Курс 0,10237,Санкт-Петербург,Петров
2022-03-31,59511,Курс 3,32467,Красноярск,Иванов
2021-11-12,84116,Курс 5,30566,Санкт-Петербург,Петров
2021-06-25,04801,Курс 7,22018,Новосибирск,Иванов
2022-05-15,59629,Курс 1,41440,Новосибирск,Коченев
2021-05-27,69834,Курс 9,34841,Томск,Петров
2021-03-06,02904,Курс 2,46402,Томск,Рутов
2021-06-30,84116,Курс 5,30566,Казань,Конюхов
2021-07-10,54192,Курс 6,43969,Кемерово,Петров
2022-05-02,04801,Курс 7,22018,Новосибирск,Рутов
2022-05-30,59511,Курс 3,32467,Казань,Конюхов
2021-05-22,14033,Курс 4,32267,Омск,Сидорова
2021-08-03,59511,Курс 3,32467,Омск,Петров
2021-09-15,63071,Курс 8,25760,Омск,Коченев
2022-01-08,59629,Курс 1,41440,Омск,Петров
2022-02-10,54192,Курс 6,43969,Омск,Иванов
2021-06-05,59629,Курс 1,41440,Кемерово,Рутов
2022-06-01,54192,Курс 6,43969,Красноярск,Иванов
2021-09-18,02904,Курс 2,46402,Томск,Коченев
2021-02-28,04801,Курс 7,22018,Казань,Петров
2021-11-29,14033,Курс 4,32267,Красноярск,Коченев
2021-11-18,59511,Курс 3,32467,Красноярск,Иванов
2021-07-06,14033,Курс 4,32267,Новосибирск,Петров
2021-09-05,59511,Курс 3,32467,Томск,Конюхов
2021-12-22,59511,Курс 3,32467,Москва,Конюхов
2021-10-21,84116,Курс 5,30566,Санкт-Петербург,Сидорова
2021-05-02,63071,Курс 8,25760,Красноярск,Коченев
2022-01-27,84116,Курс 5,30566,Санкт-Петербург,Рутов
2021-07-09,04801,Курс 7,22018,Казань,Петров
2021-03-10,63071,Курс 8,25760,Томск,Конюхов
2021-04-25,02904,Курс 2,46402,Москва,Петров
2021-10-17,54192,Курс 6,43969,Санкт-Петербург,Рутов
2021-08-22,19925,Курс 0,10237,Красноярск,Иванов
2021-07-12,59511,Курс 3,32467,Омск,Рутов
2021-01-28,84116,Курс 5,30566,Санкт-Петербург,Петров
2021-10-17,59511,Курс 3,32467,Санкт-Петербург,Конюхов
2021-05-24,59511,Курс 3,32467,Казань,Сидорова
2021-01-01,54192,Курс 6,43969,Омск,Иванов
2021-02-21,54192,Курс 6,43969,Красноярск,Петров
2021-11-20,14033,Курс 4,32267,Красноярск,Коченев
2021-10-01,59629,Курс 1,41440,Красноярск,Рутов
2021-12-19,59629,Курс 1,41440,Новосибирск,Петров
2022-03-13,54192,Курс 6,43969,Казань,Петров
2021-10-09,59629,Курс 1,41440,Томск,Сидорова
2022-04-13,69834,Курс 9,34841,Казань,Иванов
2021-09-07,02904,Курс 2,46402,Новосибирск,Петров
2021-10-28,63071,Курс 8,25760,Омск,Сидорова
2022-05-12,84116,Курс 5,30566,Казань,Иванов
2021-12-10,19925,Курс 0,10237,Москва,Конюхов
2021-02-05,84116,Курс 5,30566,Новосибирск,Иванов
2022-02-03,19925,Курс 0,10237,Красноярск,Иванов
2021-07-17,59511,Курс 3,32467,Кемерово,Иванов
2021-07-04,02904,Курс 2,46402,Кемерово,Рутов
2021-08-23,84116,Курс 5,30566,Казань,Коченев
2021-10-08,54192,Курс 6,43969,Новосибирск,Сидорова
2021-03-16,04801,Курс 7,22018,Москва,Коченев
2021-04-12,59629,Курс 1,41440,Красноярск,Рутов
2021-08-24,59629,Курс 1,41440,Новосибирск,Конюхов
2021-05-06,04801,Курс 7,22018,Санкт-Петербург,Конюхов
2021-02-01,02904,Курс 2,46402,Красноярск,Петров
2021-01-07,54192,Курс 6,43969,Красноярск,Иванов
2021-04-13,04801,Курс 7,22018,Казань,Петров
2021-09-18,63071,Курс 8,25760,Санкт-Петербург,Иванов
2022-06-25,69834,Курс 9,34841,Санкт-Петербург,Сидорова
2022-06-26,04801,Курс 7,22018,Санкт-Петербург,Сидорова
2021-06-06,59511,Курс 3,32467,Москва,Петров
2021-02-13,69834,Курс 9,34841,Томск,Иванов
2021-12-26,04801,Курс 7,22018,Казань,Сидорова
2021-05-21,14033,Курс 4,32267,Омск,Петров
2021-05-26,69834,Курс 9,34841,Москва,Сидорова
2021-12-28,14033,Курс 4,32267,Кемерово,Петров
2022-03-02,14033,Курс 4,32267,Санкт-Петербург,Рутов
2021-10-10,19925,Курс 0,10237,Новосибирск,Сидорова
2021-06-16,63071,Курс 8,25760,Красноярск,Иванов
2021-08-20,04801,Курс 7,22018,Новосибирск,Иванов
2022-06-19,69834,Курс 9,34841,Омск,Иванов
2022-05-09,63071,Курс 8,25760,Красноярск,Иванов
2022-01-09,63071,Курс 8,25760,Омск,Петров
2022-06-02,59511,Курс 3,32467,Казань,Конюхов
2021-01-28,63071,Курс 8,25760,Кемерово,Сидорова
2022-06-02,19925,Курс 0,10237,Новосибирск,Рутов
